sample_index,position,answer,url
0,0,linksys,https://www.newegg.com/linksys-ezxs88w-8-x-10-100-rj-45-port-1-x-shared-rj-45-uplink-port/p/N82E16833124004
0,1,linksys,https://www.manualslib.com/manual/358147/Cisco-Linksys-Ezxs88w.html
0,2,linksys,https://downloads.linksys.com/downloads/datasheet/1224638657243/EZXS88W_V30_DS_B.pdf
0,3,linksys,https://www.amazon.com/Cisco-Linksys-EZXS88W-EtherFast-8-Port-Workgroup/product-reviews/B00003006K
0,4,linksys,https://www.amazon.com/Consumer-Etherfast-8-port-Workgroup-ezxs88w/dp/B007W7TKPK
0,5,linksys,https://www.bestbuy.com/site/cisco-linksys-etherfast-10-100-8-port-workgroup-switch/4088276.p
0,6,linksys,https://www.pcliquidations.com/p10188-linksys-etherfast-ezxs88w-8
0,7,linksys,https://www.ebay.com/p/74095716
0,8,linksys,https://www.amazon.ca/Linksys-EZXS88W-EtherFast-8-Port-Switch/dp/B00003006K
0,9,linksys,https://www.ebay.com/itm/314549383201
0,10,linksys,https://www.tripadvisor.com/ShowTopic-g188590-i60-k13824469-20_hour_layover_in_Amsterdam_what_to_do_for_a_night_morning-Amsterdam_North_Holland_Province.html
0,11,linksys,https://www.tripadvisor.com/ShowTopic-g188590-i60-k13861757-How_early_to_arrive_at_AMS_airport-Amsterdam_North_Holland_Province.html
0,12,linksys,https://www.linkedin.com/jobs/sponsorship-visa-jobs-holland-ma
1,0,linksys,https://www.amazon.com/Cisco-Linksys-EZXS55W-EtherFast-5-Port-Workgroup/dp/B00003006E
1,1,linksys,https://www.linksys.com/support-product?sku=EZXS55W
1,2,linksys,https://www.manualslib.com/manual/96041/Linksys-Ezxs55w.html
1,3,linksys,https://www.ebay.com/p/58103243
1,4,linksys,https://downloads.linksys.com/downloads/userguide/1224638754329/EZXS55_88_16W_V20_UG_B-WEB.pdf
1,5,linksys,https://www.amazon.ca/Linksys-EZXS55W-EtherFast-5-Port-Workgroup/dp/B00003006E
1,6,linksys,https://www.amazon.com/Linksys-EZXS16W-EtherFast-16-Port-Workgroup/dp/B00005854F
1,7,linksys,https://superuser.com/questions/105406/linksys-by-cisco-ezxs55w-etherfast-10-100-5-port-workgroup-switch
1,8,linksys,https://zdtronic.zipcon.net/NETWORKING/LINKSYS-NETWORKING/LINKSYS-EZXS55W-ETHERFAST-10-100-5-PORT-WORKGROUP-SWITCH.html
1,9,linksys,https://www.shoplet.com/Cisco-systems-inc-Linksys-EtherFast-EZXS55W-Ethernet-Switch-EZXS55W/2931764/spdv
1,10,linksys,https://www.ebay.com/p/74095432
1,11,linksys,https://downloads.linksys.com/downloads/datasheet/1224638754168/EZXS55W_V40_DS_B.pdf
1,12,cisco,https://www.manualslib.com/products/Cisco-Linksys-Ezxs55w-96570.html
