name,addr,city,phone,type
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french
campanile,624 s. la brea ave.,los angeles,213/938-1447,american
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave
citrus,6703 melrose ave.,los angeles,213/857-0034,californian
citrus,6703 melrose ave.,los angeles,213-857-0034,californian
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new)
granita,23725 w. malibu rd.,malibu,310/456-0488,californian
granita,23725 w. malibu rd.,malibu,310-456-0488,californian
grill on the alley,9560 dayton way,los angeles,310/276-0615,american
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional)
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro
locanda veneta,3rd st.,los angeles,310/274-1893,italian
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian
matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,asian
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood
philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian
spago,1114 horn ave.,los angeles,310/652-4025,californian
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian
valentino,3115 pico blvd.,santa monica,310-829-4313,italian
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese
21 club,21 w. 52nd st.,new york,212/582-7200,american
21 club,21 w. 52nd st.,new york city,212-582-7200,american (new)
aquavit,13 w. 54th st.,new york,212/307-7311,continental
aquavit,13 w. 54th st.,new york city,212-307-7311,scandinavian
aureole,34 e. 61st st.,new york,212/ 319-1660,american
aureole,34 e. 61st st.,new york city,212-319-1660,american (new)
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses
cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental
cafe des artistes,1 w. 67th st.,new york city,212-877-3500,french (classic)
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,delicatessen
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis
chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american
chanterelle,2 harrison st.,new york city,212-966-6960,french (new)
daniel,20 e. 76th st.,new york,212/288-0033,french
dawat,210 e. 58th st.,new york,212/355-7555,asian
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american
four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new)
gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new)
island spice,402 w. 44th st.,new york city,212-765-1737,caribbean
jo jo,160 e. 64th st.,new york,212/223-5656,american
jo jo,160 e. 64th st.,new york city,212-223-5656,french bistro
la caravelle,33 w. 55th st.,new york,212/586-4252,french
la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french
la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic)
le bernardin,155 w. 51st st.,new york,212/489-1515,french
lutece,249 e. 50th st.,new york,212/752-2225,french
manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,seafood
manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood
march,405 e. 58th st.,new york city,212-754-6272,american (new)
mesa grill,102 fifth ave.,new york city,212-807-7400,southwestern
mi cocina,57 jane st.,new york city,212-627-8273,mexican
montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,french
montrachet,239 w. broadway,new york city,212-219-2777,french bistro
oceana,55 e. 54th st.,new york,212/759-5941,seafood
oceana,55 e. 54th st.,new york city,212-759-5941,seafood
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american
park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new)
petrossian,182 w. 58th st.,new york,212/245-2214,french
petrossian,182 w. 58th st.,new york city,212-245-2214,russian
picholine,35 w. 64th st.,new york city,212-724-8585,mediterranean
pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood
pisces,95 ave. a,new york city,212-260-6660,seafood
rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new)
river cafe,1 water st. at the east river,brooklyn,718/522-5200,american
river cafe,1 water st.,brooklyn,718-522-5200,american (new)
san domenico,240 central park s,new york,212/265-5959,italian
san domenico,240 central park s.,new york city,212-265-5959,italian
second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,delicatessen
second avenue deli,156 second ave.,new york city,212-677-0606,delis
seryna,11 e. 53rd st.,new york city,212-980-9393,japanese
shun lee west,43 w. 65th st.,new york,212/371-8844,asian
shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese
sign of the dove,1110 3rd ave. at 65th st.,new york,212/861-8080,american
sign of the dove,1110 third ave.,new york city,212-861-8080,american (new)
smith & wollensky,201 e. 49th st.,new york,212/753-1530,american
smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses
tavern on the green,in central park at 67th st.,new york,212/873-3200,american
uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,212/315-1726,mediterranean
union square cafe,21 e. 16th st.,new york,212/243-4020,american
union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new)
virgil's,152 w. 44th st.,new york,212/ 921-9494,american
virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq
chin's,3200 las vegas blvd. s,las vegas,702/733-8899,asian
chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese
le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new)
second street grille,200 e. fremont st.,las vegas,702/385-3232,seafood
second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim
steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses
tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood
tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses
abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,404/261-8186,italian
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian
bone's,3130 piedmont road,atlanta,404/237-2663,american
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french
brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,french bistro
buckhead diner,3073 piedmont road,atlanta,404/262-3336,american
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new)
ciboulette,1529 piedmont ave.,atlanta,404/874-7600,french
ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new)
delectables,1 margaret mitchell sq.,atlanta,404-681-2909,cafeterias
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,international
hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,404-233-7673,continental
heera of india,595 piedmont ave.  rio shopping mall,atlanta,404/876-4408,asian
indigo coastal grill,1397 n. highland ave.,atlanta,404/876-0676,caribbean
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic
la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,404/231-1368,italian
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul
nikolai's roof,255 courtland st.  at harris st.,atlanta,404/221-6362,continental
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new)
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental
ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic)
toulouse,b peachtree rd.,atlanta,404/351-9533,french
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new)
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian
veni vidi vici,41 14th st.,atlanta,404-875-8424,italian
alain rondelli,126 clement st.,san francisco,415/387-0408,french
alain rondelli,126 clement st.,san francisco,415-387-0408,french (new)
aqua,252 california st.,san francisco,415/956-9662,seafood
aqua,252 california st.,san francisco,415-956-9662,american (new)
boulevard,1 mission st.,san francisco,415/543-6084,american
boulevard,1 mission st.,san francisco,415-543-6084,american (new)
cafe claude,7 claude la.,san francisco,415/392-3505,french
cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro
